cookie_name,cookie_value,cookie_domain,cookie_path,cookie_secure,cookie_httpOnly,request_url,request_method,request_timestamp,source_url,timestamp,page_title,browser_id,party_type
___nrbi,2|t5gxvv|629991a3-2fe3-4967-9360-62e34f4ad5c6|%5B%5B%22mrfExperiment_Test%20A%2FB%2FC%2FD%22%2C%223%22%5D%2C%5B%22mrfExperiment_Test%20A%2FB%22%2C%221%22%5D%2C%5B%22mrfExperiment_PersonalizedTest%22%2C%226%22%5D%2C%5B%22mrfExperiment_Test%20A%2FB%2FC%22%2C%223%22%5D%5D|t5gxvv|1|486700ade2d8454baf2377f4dec9a928|logged|,.20minutos.es,/,true,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
___nrbic,2|t5gxvv|t5gxvv|t5gxvv|2e4c6d11-31f2-4d62-b67d-0de08b6ee12b|%5B%5B%22marfeelPassNoticeShown%22%2C%22true%22%5D%2C%5B%22marfeelPassConsentAccepted%22%2C%22true%22%5D%2C%5B%22gigya%22%2C%22iniciarsesion%22%5D%5D|true|1|https%3A%2F%2Fwww.20minutos.es%2F|||true,.20minutos.es,/,true,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
glt_3_Hob3SXLWsBRwjPFz4f4ZEuxPo2PyeElFMWgWO2EXdBYUqwMk8lxNj78Fi_2VW5cH,st2.s.AtLtEIfj8w.SbsuL8VrK27CydAtTk9y5MCz7CJPJxI0by3e5itadwB800oMKiiP6QMMW8CbNFaUe2KrHbqbcwe6DlewMrofOqnyIssStb4Mbe7dzTQWDHa7_ut9MBWyxSQMmnq-YYIa.nxLBjpQB6klQFt67HModKMhyaPUnLIO4q-Y9tUeVpWTvVvrSDJODA1lXwnGeQXeLmgMyGXTcZB9lwMKLSlZWQg.sc3,.20minutos.es,/,true,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
_ga_99PYP6EBJE,GS2.1.s1762707599$o1$g1$t1762707784$j15$l0$h0,.20minutos.es,/,false,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
_ga,GA1.1.1620895294.1762707599,.20minutos.es,/,false,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
euconsent-v2,CQann8AQann8AAHABBENCDFsAP_gAEPgAAiQKANB_C7fbWlr-bZ3YfsEcYwP5dhp5sQxBgbBg2IFDJKQoJwWhmA5JAzANKAKGBIAMmRBIQNlGIBQQUAAIIgBKQDMKAyQIBAIIiAAiAIBAwJICAgrCgggEQAIgGJEElUAmAgBQFJoGNgAggBChSCRIAABAICBAQCoAFEgRAAQAQAAQCxAAwIAqAwAAEsAABkoAAABAAACIiACAAAABQAAQAAEE2AATBQqIISwIEAgEDCCAAAIIggAoEAQAAJAwQEABggIUAYACjAYAAAAAAIEAAAAAQAAgAAEgAAgACAAgEAAEAAEAAYAEAAEABAAABAAgQAAAAQFAAQQAIAAgAEiACgAQIQAAAgADCgAAAAAUgBAAAAAAEBAAAAAAAAQAAAAAAAAQAAhAAEAVAAAAAAAAAAECAAAgAAAAVAAAAAAAgAA.f_wACHwAAAAA,.20minutos.es,/,false,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
didomi_token,eyJ1c2VyX2lkIjoiMTlhNjk4ZjUtZDQ5ZS02Y2ZmLWFlZjMtNDdlNTQ5NjUyYWEyIiwiY3JlYXRlZCI6IjIwMjUtMTEtMDlUMTY6NTk6NTQuNTY5WiIsInVwZGF0ZWQiOiIyMDI1LTExLTA5VDE2OjU5OjU4Ljk0NloiLCJ2ZW5kb3JzIjp7ImVuYWJsZWQiOlsiZ29vZ2xlIiwiYzpleWVyZXR1cm4tbWFya2V0aW5nIiwiYzpzdGlja3lhZHMiLCJjOnRyaWJhbC1mdXNpb24iLCJjOmFkNG1hdCIsImM6dGVsZWZvbmljYS1iWHJCaFhlayIsImM6dGVsZWZvbmljYS1HQmVVUEJlRyIsImM6YmluZy1hZHMiLCJjOmhhdmFzbWVkaS1CQUc3cEpEZSIsImM6aWduaXRpb25vLUxWQU1aZG5qIiwiYzp0ZWxlZm9uaWNhLXpmQXh6YVI3IiwiYzpnaWd5YSIsImM6dGVsZWZvbmljYS1UTFJiWllGTSIsImM6YXdzLWNsb3VkZnJvbnQiLCJjOmdvb2dsZWFuYS00VFhuSmlnUiIsImM6dmVuZG9yLXByb21ldGVvIiwiYzpjaGFydGJlYXQiLCJjOmdpZ3lhLWNvdW50ZXIiLCJjOmNsaWNrb25vbWV0cmljcyIsImM6dmlzaWJsZS1tZWFzdXJlcyIsImM6c3luYWNvciIsImM6dmVuZG9yLWlvIiwiYzp2aWRlb2xvZ3kiLCJjOmFuYWxpZ2h0cy03bXlFSDNlayIsImM6bWV0aG9kbWVkLWZSeFRGMmVRIiwiYzpzbWFydG1lYW4tVGM2Qll4UHAiLCJjOmFkb3Rtb2IiLCJjOmFkc2NhbGUiLCJjOnZlbmRvci1kb2d0cmFjayIsImM6c2Nvb3RhLUVWQ3dyeUNkIiwiYzp1dGlxc2FuLUVZVndDbUtaIiwiYzpmcmFjdGlvbmFsLW4yallERlBOIl19LCJwdXJwb3NlcyI6eyJlbmFibGVkIjpbImdlb2xvY2F0aW9uX2RhdGEiLCJkZXZpY2VfY2hhcmFjdGVyaXN0aWNzIiwidXNvZGVkaXItTkVqNHJpTE0iXX0sInZlbmRvcnNfbGkiOnsiZW5hYmxlZCI6WyJnb29nbGUiXX0sInZlcnNpb24iOjIsImFjIjoiSHBlRHVBRVlBS1lBV1FBdWdCc0FEMEFJOEFTb0F4QUJ6QUUzQUtHQVlFQXhRQm53RHpRSHVBZThCRGdDUGdFbGdOSEFlcUJCc0NGWUVSQUlqZ1JKQWltQkk0Q1VRRXRRSmZnVDBBbjRCUlVDdzRGalFMVWdYc0F3c0JpSURLQUdjd002Z2FqQTFnQnJrRGV3SEVnT1JnZE9BNnNCMkVEdm9IaVFQN2dnWUJBMENDb0VIWUlWd1JBZ2lvQkZjQ0xFRVpvSkRBU01Ba2JCS21DV3NFdUFKcUFUZWduRkJPcUNkNkZBNFVFQW9NQlFlQ2hFRkhvS1ZnVXRncGtCVHFDdjBGaHdMSVFXZGdzLWhhRUZvWUxSZ1drZ3RTQmNvQzUwRjFRTHlRWDVBd1hCZzREQ1VHSEFNT2dZbmd4dUJqaURIb0dSWU1rd1pSQXpjQm5VRFB3R2dBUUl3alpoNlhBQS5IcGVEdUFFWUFLWUFXUUF1Z0JzQUQwQUk4QVNvQXhBQnpBRTNBS0dBWUVBeFFCbndEelFIdUFlOEJEZ0NQZ0VsZ05IQWVxQkJzQ0ZZRVJBSWpnUkpBaW1CSTRDVVFFdFFKZmdUMEFuNEJSVUN3NEZqUUxVZ1hzQXdzQmlJREtBR2N3TTZnYWpBMWdCcmtEZXdIRWdPUmdkT0E2c0IyRUR2b0hpUVA3Z2dZQkEwQ0NvRUhZSVZ3UkFnaW9CRmNDTEVFWm9KREFTTUFrYkJLbUNXc0V1QUpxQVRlZ25GQk9xQ2Q2RkE0VUVBb01CUWVDaEVGSG9LVmdVdGdwa0JUcUN2MEZod0xJUVdkZ3MtaGFFRm9ZTFJnV2tndFNCY29DNTBGMVFMeVFYNUF3WEJnNERDVUdIQU1PZ1luZ3h1QmppREhvR1JZTWt3WlJBemNCblVEUHdHZ0FRSXdqWmg2WEFBIn0=,.20minutos.es,/,false,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
permutive-id,67165ab9-712a-4474-be47-c49618f092ef,.20minutos.es,/,true,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
compass_uid,629991a3-2fe3-4967-9360-62e34f4ad5c6,.20minutos.es,/,true,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
gig_bootstrap_3_Hob3SXLWsBRwjPFz4f4ZEuxPo2PyeElFMWgWO2EXdBYUqwMk8lxNj78Fi_2VW5cH,gigya_ver4,.20minutos.es,/,true,false,https://20minutos.es/,GET,2025-11-09T17:59:52.758000,https://20minutos.es,2025-11-09T18:03:23.665548,"20minutos.es | Open Daily | Latest news, local, Spain and the world",20minutos_es,first-party
