cookie_name	cookie_value	cookie_domain	cookie_path	cookie_secure	cookie_httpOnly	request_url	request_method	request_timestamp	source_url	timestamp	page_title	browser_id	party_type
s_nr30	1761207653780-New	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
mbox	session#a43595a997de475dabbb8ff3c16a3819#1761209512|PC#a43595a997de475dabbb8ff3c16a3819.37_0#1824452452	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
ttcsid	1761207644302::QOjoCNtOceQK4pqIaDaO.1.1761207653785.0	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
__eoi	ID=ae126e90e43f709f:T=1761207647:RT=1761207647:S=AA-Afjb6gVqTSrpwlpBPqJiWQBpH	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
__gpi	UID=000012b445328931:T=1761207647:RT=1761207647:S=ALNI_MbCwGaoP_yZ0Gbd8MlKkP4iujGauA	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
s_sq	fcbglobalprod%3D%2526c.%2526a.%2526activitymap.%2526page%253Dhttps%25253A%25252F%25252Fwww.fcbarcelona.com%25252Fen%25252Ffootball%25252Ffirst-team%25252Fplayers%25252F5109%25252Frobert-lewandowski%2526link%253Dlabel.aria.barcelonabadge%252520Lewandowski%25253A%252520%252527Rashford%252520can%252520help%252520us%252527%252520Polish%252520marksman%252520very%252520happy%252520the%252520English%252520player%252520has%252520joined%252520and%252520think%2526region%253Dmain%2526pageIDType%253D1%2526.activitymap%2526.a%2526.c%2526pid%253Dhttps%25253A%25252F%25252Fwww.fcbarcelona.com%25252Fen%25252Ffootball%25252Ffirst-team%25252Fplayers%25252F5109%25252Frobert-lewandowski%2526pidt%253D1%2526oid%253Dhttps%25253A%25252F%25252Fwww.fcbarcelona.com%25252Fen%25252Ffootball%25252Ffirst-team%25252Fnews%25252F4324288%25252Flewandowski-rashford-can-help-us%2526ot%253DA	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
s_tslv	1761207653781	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
__gads	ID=79d2e1447b748ade:T=1761207647:RT=1761207647:S=ALNI_MaI9dRaDJFua4QD5x1TTQN_nLq9ZQ	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
_tt_enable_cookie	1	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
_fbp	fb.1.1761207642817.9761231072	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
_clck	3hw0rg%5E2%5Eg0e%5E0%5E2122	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
_clsk	zd6k2d%5E1761207651869%5E3%5E1%5Ey.clarity.ms%2Fcollect	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
euconsent-v2	CQZvmAAQZvmAAAHABBENCBFsAP_AAEPAAAiQF5wAwAIAI1AXmBecAEBeYAAA.f_gACHgAAAAA	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
gpv_pn	https%3A%2F%2Fwww.fcbarcelona.com%2Fen%2F	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
cto_bundle	_d0J0F9OSyUyRiUyRnRIYTQzaFZudlB0d1Ntb2tVelZ2ZTV3OFo5NWczZ1pZSnRIN3N3eUJUaUFUTlljVE9yJTJCbXIwQ2R1c3FKTzlUcjBwN09adFp6M2tLMjElMkZHcFlUMUFocHViNGRDNlk2JTJGRWhBQ2VoTnNFbFNGQVNzRjBjYUxqVkJkNHdlM1g	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
didomi_token	eyJ1c2VyX2lkIjoiMTlhMTAyN2UtNTcxZS02MDk5LTlkZTEtZDQ0ZmE3YzEzMTU1IiwiY3JlYXRlZCI6IjIwMjUtMTAtMjNUMDg6MjA6NDEuNDU3WiIsInVwZGF0ZWQiOiIyMDI1LTEwLTIzVDA4OjIwOjQyLjYwNloiLCJ2ZW5kb3JzIjp7ImVuYWJsZWQiOlsiZ29vZ2xlIiwidHdpdHRlciIsImM6Z29vZ2xlYW5hLTRUWG5KaWdSIiwiYzpsaW5rZWRpbi1tYXJrZXRpbmctc29sdXRpb25zIiwiYzpodWJzcG90IiwiYzpiaW5nLWFkcyIsImM6aG90amFyIiwiYzpsaW5rZWRpbiIsImM6dGlrdG9rLUtaQVVRTFo5IiwiYzppbnN0YWdyYW0iLCJjOm1pY3Jvc29mdCIsImM6d2ViZXllei1EM3BGQWlKZSIsImM6emVuZGVzay1BQzdQcGZxTiJdfSwicHVycG9zZXMiOnsiZW5hYmxlZCI6WyJkZXZpY2VfY2hhcmFjdGVyaXN0aWNzIiwiZ2VvbG9jYXRpb25fZGF0YSJdfSwidmVuZG9yc19saSI6eyJlbmFibGVkIjpbImdvb2dsZSIsImM6d2ViZXllei1EM3BGQWlKZSIsImM6emVuZGVzay1BQzdQcGZxTiJdfSwidmVyc2lvbiI6MiwiYWMiOiJDaEdBRUFGa0ZDSUEuQ2hHQUVBRmtGQ0lBIn0=	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
s_cc	true	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
gpv_Page	https%3A%2F%2Fwww.fcbarcelona.com%2Fen%2Ffootball%2Ffirst-team%2Fplayers%2F5109%2Frobert-lewandowski	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
_gcl_au	1.1.549355825.1761207641	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
req_language	en	www.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
at_check	true	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
AMCV_7BEDF655569E15537F000101%40AdobeOrg	179643557%7CMCIDTS%7C20385%7CMCMID%7C76591427586278143844085642949865949744%7CMCAAMLH-1761812442%7C6%7CMCAAMB-1761812442%7C6G1ynYcLPuiQxYZrsz_pkqfLG9yMXBpb2zX5dvJdYQJzPXImdj0y%7CMCOPTOUT-1761214842s%7CNONE%7CMCAID%7CNONE%7CMCSYNCSOP%7C411-20392%7CMCCIDH%7C-1805713169%7CvVersion%7C5.5.0	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
s_ecid	MCMID%7C76591427586278143844085642949865949744	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
s_inv	0	.fcbarcelona.com	/	True	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
_ttp	01K882FV2ZQ2KY5TVAWHTYHEYH_.tt.1	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
ttcsid_C5RD4L123A9UL0EA7J9G	1761207644302::Wo_rTBsW1eUS4KLYmYdY.1.1761207653785.0	.fcbarcelona.com	/	False	False	https://www.fcbarcelona.com/	GET	2025-10-23T09:20:39.693000	https://www.fcbarcelona.com/	2025-10-23T09:20:54.240644	Lewandowski | 2025/2026 player page | Forward | FC Barcelona Official website	test_browser	first-party
